,expt,date,genotype,percentDEET,stimulus,sum,CI,
6,drc,20160807,N2,0.15,IAA,55,0.4,
12,drc,20160807,N2,0.15,IAA,50,0.04,
30,drc,20160807,N2,0.15,IAA,50,0.18,
36,drc,20160807,N2,0,IAA,207,0.913043478,
42,drc,20160807,N2,0,IAA,225,0.946666667,
48,drc,20160807,crispr,0,IAA,229,0.615720524,
54,drc,20160807,crispr,0.15,IAA,55,0.109090909,
66,drc,20160807,crispr,0.15,IAA,81,0.197530864,
72,drc,20160807,crispr,0.15,IAA,57,0.210526316,
84,rescue,20160803,ewIR74r,0.15,IAA,78,-0.038461538,
108,hawaiian,20160803,ewIR73,0.15,IAA,57,0.157894737,
120,hawaiian,20160803,hawaiian,0.15,IAA,137,0.109489051,
126,hawaiian,20160803,hawaiian,0.15,IAA,139,0.26618705,
132,rescue,20160803,ewIR74r,0.15,IAA,58,-0.224137931,
150,hawaiian,20160803,ewIR73,0.15,IAA,70,-0.114285714,
162,hawaiian,20160803,ewIR73,0.15,IAA,91,-0.087912088,
174,hawaiian,20160803,hawaiian,0.15,IAA,163,-0.098159509,
180,hawaiian,20160803,hawaiian,0.15,IAA,214,-0.023364486,
186,drc,20160731,N2,0,IAA,211,0.800947867,
192,drc,20160731,crispr,0.05,IAA,187,0.545454545,
198,drc,20160731,N2,0.05,IAA,127,0.57480315,
204,drc,20160731,N2,0.1,IAA,71,0.281690141,
210,drc,20160731,N2,0.1,IAA,79,0.367088608,
222,drc,20160731,N2,0.15,IAA,52,-0.480769231,
228,drc,20160731,crispr,0,IAA,250,0.888,
234,drc,20160731,crispr,0.05,IAA,167,0.700598802,
240,drc,20160731,crispr,0.15,IAA,76,0.552631579,
246,drc,20160731,crispr,0.15,IAA,77,0.272727273,
252,drc,20160731,N2,0,IAA,197,0.868020305,
258,drc,20160731,N2,0.05,IAA,107,0.551401869,
264,drc,20160731,N2,0.1,IAA,63,0.412698413,
270,drc,20160731,N2,0.1,IAA,54,0.055555556,
294,drc,20160731,crispr,0.05,IAA,106,0.452830189,
300,drc,20160731,crispr,0.1,IAA,54,0.37037037,
306,drc,20160731,crispr,0.15,IAA,58,0.275862069,
312,drc,20160731,crispr,0.15,IAA,92,0.358695652,
318,drc,20160731,crispr,0,IAA,243,0.790123457,
324,drc,20160727,N2,0,IAA,119,0.630252101,
330,drc,20160727,N2,0.05,IAA,104,0.259615385,
336,drc,20160727,N2,0.05,IAA,136,0.132352941,
342,drc,20160727,N2,0,IAA,115,0.852173913,
348,drc,20160727,N2,0.05,IAA,82,0.012195122,
354,drc,20160727,N2,0.1,IAA,50,0.22,
360,drc,20160727,N2,0.1,IAA,96,-0.28125,
366,drc,20160727,N2,0.15,IAA,51,0.156862745,
372,drc,20160727,crispr,0,IAA,161,0.708074534,
378,drc,20160727,crispr,0.05,IAA,133,0.556390977,
384,drc,20160727,N2,0.15,IAA,67,0.194029851,
390,drc,20160727,crispr,0,IAA,217,0.65437788,
396,drc,20160727,crispr,0.05,IAA,193,0.383419689,
402,drc,20160727,crispr,0.1,IAA,213,0.276995305,
408,drc,20160727,crispr,0.1,IAA,101,0.306930693,
420,drc,20160727,crispr,0.2,IAA,59,-0.237288136,
426,drc,20160727,crispr,0.15,IAA,99,0.232323232,
432,drc,20160727,crispr,0.15,IAA,54,0.240740741,
438,drc,20160727,crispr,0.2,IAA,62,0.209677419,
444,drc,20160725,N2,0.1,IAA,67,0.343283582,
450,drc,20160725,N2,0.15,IAA,67,0.089552239,
456,drc,20160725,crispr,0.1,IAA,67,0.089552239,
462,drc,20160725,N2,0.05,IAA,197,0.736040609,
480,drc,20160725,N2,0.15,IAA,63,0.333333333,
492,drc,20160725,N2,0,IAA,177,0.870056497,
498,drc,20160725,crispr,0.15,IAA,75,0.24,
504,drc,20160725,crispr,0,IAA,118,0.779661017,
510,drc,20160725,N2,0.1,IAA,81,0.185185185,
516,drc,20160725,N2,0.05,IAA,147,0.469387755,
522,drc,20160725,N2,0,IAA,166,0.84939759,
534,drc,20160725,crispr,0.05,IAA,153,0.647058824,
540,drc,20160724,crispr,0.15,IAA,75,0.426666667,
564,drc,20160724,crispr,0.15,IAA,83,0.530120482,
576,drc,20160724,N2,0.1,IAA,60,0.166666667,
588,drc,20160724,N2,0,IAA,139,0.525179856,
594,drc,20160724,N2,0.05,IAA,58,0.534482759,
606,drc,20160724,N2,0,IAA,57,0.807017544,
612,drc,20160724,N2,0.05,IAA,111,0.405405405,
624,drc,20160724,N2,0.05,IAA,88,0.465909091,
642,drc,20160724,crispr,0,IAA,108,0.953703704,
648,drc,20160724,crispr,0.1,IAA,63,0.301587302,
660,drc,20160724,crispr,0.1,IAA,61,0.360655738,
666,drc,20160724,crispr,0.05,IAA,108,0.685185185,
672,drc,20160724,crispr,0.1,IAA,58,0.25862069,
678,drc,20160724,crispr,0.05,IAA,88,0.761363636,
690,drc,20160724,crispr,0.1,IAA,63,0.761904762,
696,drc,20160724,crispr,0.1,IAA,92,0.510869565,
702,drc,20160724,crispr,0.05,IAA,111,0.810810811,
708,drc,20160724,crispr,0,IAA,124,0.975806452,
720,drc,20160724,crispr,0,IAA,54,0.981481481,
726,drc,20160713,crispr,0,IAA,61,0.885245902,
738,drc,20160713,crispr,0.1,IAA,143,0.454545455,
744,drc,20160713,crispr,0.15,IAA,91,0.252747253,
750,drc,20160713,crispr,0.2,IAA,95,0.189473684,
756,drc,20160713,N2,0,IAA,140,0.735714286,
762,drc,20160713,N2,0,IAA,105,0.828571429,
780,drc,20160713,N2,0.05,IAA,75,0.72,
786,drc,20160713,N2,0.05,IAA,96,0.59375,
